name,styleUrl,longitude,latitude,ward
GOL MANDIR (BHULESHWAR),0,72.828832,18.958087,    B   
ALANKAR CINEMA,0,72.824474,18.958047,    D   
NANA CHOWK,0,72.8147,18.961925,    D   
VATSALABAI DESAI CHOWK (HAJI ALI),0,72.812851,18.979901,    D   
VATSALABAI DESAI CHOWK (HAJI ALI),0,72.812785,18.979811,    D   
"PRARTHANA SAMAJ, HARKISHANDAS HOSPITAL",0,72.819745,18.958505,    D   
HYDERABAD ESTATE,0,72.800852,18.956014,    D   
J.MEHTA MARG (NAPEAN SEA ROAD),0,72.796223,18.951086,    D   
JOHAR CHOWK (BHENDI BAZAAR),0,72.830883,18.958097,    B   
KASTURBA GANDHI CHOWK (C.P.TANK),0,72.825986,18.954453,    B   
KHETWADI (GIRGAON),0,72.822461,18.958046,    D   
LALA LAJPATRAI COLLAGE,0,72.814673,18.982098,    E   
LALA LAJPATRAI COLLEGE,0,72.814331,18.982116,    E   
MAHARANA PRATAP CHOWK (MAZGAON),0,72.840532,18.968385,    E   
MADANPURA,0,72.828053,18.969876,    E   
MAFATLAL PARK,0,72.805763,18.973472,    D   
MAFATLAL PARK,0,72.80619,18.974683,    D   
MAHARANA PRATAP CHOWK (MAZGAON),0,72.840114,18.968113,    E   
MAZGAON COURT,0,72.83868,18.968718,    E   
MAZGAON COURT,0,72.838718,18.968826,    E   
MUMBAI CENTRAL DEPOT,0,72.824456,18.968202,    E   
MUMBAI CENTRAL STATION,0,72.822053,18.968715,    E   
MUMBAI CENTRAL STATION,0,72.820429,18.968804,    D   
MUMBAI CENTRAL STATION,0,72.820363,18.968054,    D   
MUMBAI CENTRAL STATION,0,72.82006,18.967666,    D   
NAGPADA POLICE STATION,0,72.829765,18.966652,    E   
NALANDA (CUMBALLA HILL),0,72.807982,18.967114,    D   
"NANA CHOWK, SHASTRI HALL",0,72.813283,18.963613,    D   
BHATIA HOSPITAL,0,72.812969,18.964435,    D   
NAVJEEVAN SOCIETY (TARDEO),0,72.819511,18.965316,    D   
"A.H.ANSARI CHOWK, NEW NAGPADA",0,72.832585,18.966582,    E   
"NOVELTY CINEMA, DR.BHADKAMKAR ROAD",0,72.81883,18.961847,    D   
PRIYADARSHINI PARK (NAPEAN SEA ROAD),0,72.79992,18.957133,    D   
"SANTACRUZ STATION (W) ROAD, KASHIBAI HOSPITAL",0,72.838034,19.08505,    M/E   
"PARASMANI, MADHUKUNJ SOCIETY",0,72.829949,19.107982,    K/W   
MANO-BINA APARTMENTS,0,72.840967,19.116157,    K/W   
MANO-BINA APARTMENTS,0,72.840815,19.116274,    K/W   
NANAVATI HOSPITAL,0,72.839519,19.095052,    M/E   
PARSI COLONY (JUHU),0,72.827551,19.09976,    M/E   
VILE PARLE (W),0,72.838849,19.101719,    M/E   
VILE PARLE (W),0,72.838754,19.101637,    M/E   
ROYAL HOTEL(JUHU),0,72.828175,19.092135,    M/E   
SANTACRUZ DEPOT,0,72.83859,19.091853,    M/E   
SANTACRUZ DEPOT,0,72.838685,19.091962,    M/E   
SANTACRUZ DEPOT,0,72.838761,19.092106,    M/E   
SANTACRUZ DEPOT,0,72.838381,19.091248,    M/E   
KAPADIA NAGAR,0,72.872704,19.075178,    L   
KUNCHI KURVE NAGAR,0,72.869938,19.077245,    L   
KURLA STATION (W),0,72.878998,19.067222,    L   
KURLA STATION (W),0,72.878865,19.067294,    L   
KURLA DEPOT,0,72.878823,19.075379,    L   
"RAJMATA AHILYABAI HOLKAR UDYAN, KURLA LION S PARK",0,72.872702,19.060804,    L   
LAXMANRAO YADAV MARKET (KURLA MARKET),0,72.879377,19.070375,    L   
"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE",0,72.874088,19.063976,    L   
"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE",0,72.874449,19.064699,    L   
KURLA STATION (W),0,72.879198,19.06724,    L   
MAHATMA PHULE BHAVAN (VIDYA NAGARI),0,72.856954,19.069198,    M/E   
MAHATMA PHULE BHAVAN (VIDYA NAGARI),0,72.85683,19.069234,    M/E   
MILAN SUBWAY,0,72.844112,19.090547,    M/E   
MILITARY OUTPOST (KALINA),0,72.859056,19.080573,    M/E   
MILITARY OUTPOST (KALINA),0,72.859085,19.080483,    M/E   
MOHAMMAD ESTATE,0,72.871204,19.073632,    L   
"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)",0,72.889946,19.08468,    N   
NAVAPADA (VIDYAVIHAR-W),0,72.889938,19.082394,    N   
NEW AGRIPADA (SANTACRUZ-E),0,72.844,19.087367,    M/E   
NEW AIR INDIA QUARTERS,0,72.872274,19.080733,    L   
NEW AIR INDIA QUARTERS,0,72.872416,19.080824,    L   
OLD AGRA ROAD (KURLA-W),0,72.879724,19.079029,    L   
PHATAK TECHNICAL SCHOOL,0,72.8502167,19.0809,    M/E   
RAHAT APARTMENT,0,72.87965,19.075298,    L   
VAKOLA POLICE STATION,0,72.846029,19.080556,    M/E   
VIDYA VIHAR S.T.WORKSHOP,0,72.890812,19.080931,    N   
SAFED POOL (SAKI NAKA),0,72.883622,19.096593,    N   
SANTACRUZ STATION (E),0,72.842446,19.081069,    M/E   
SHEETAL CINEMA (KURLA-W),0,72.882146,19.082454,    L   
ST.MARY SCHOOL (KALINA),0,72.868531,19.078274,    L   
SUNDAR BAUG (KAMANI),0,72.887246,19.08682,    L   
VAKOLA POLICE STATION,0,72.85098,19.080234,    M/E   
VAKOLA PIPE LINE,0,72.853953,19.081221,    M/E   
VAKOLA PIPE LINE,0,72.853155,19.080805,    M/E   
VAKOLA PIPE LINE,0,72.8521,19.0807667,    M/E   
VAKOLA POLICE STATION,0,72.846759,19.08343,    M/E   
VAKOLA POLICE STATION (HANUMAN MANDIR),0,72.847227,19.079012,    M/E   
VAKOLA POLICE STATION,0,72.846313,19.082129,    M/E   
VIDYA NAGARI (KALINA),0,72.860971,19.073356,    L   
VIDYA NAGARI (KALINA),0,72.860809,19.073365,    L   
VIDYA NAGARI (KALINA) NEHRU LIBRARY,0,72.85872,19.071114,    L   
VIDYA NAGARI (KALINA) NEHRU LIBRARY,0,72.85892,19.071132,    L   
VIDYA VIHAR BUS STATION (W),0,72.89659,19.079958,    N   
ACHARYA VINOBA BHAVE NAGAR (KURLA-W),0,72.881513,19.073718,    L   
"NEHRU NAGAR  (KURLA-E), TILAK NAGAR JUNCTION",0,72.888138,19.068337,    L   
VIDYA NAGARI (KALINA),0,72.860923,19.073347,    L   
ACHARYA ATRE CHOWK (WORLI NAKA),0,72.816531,18.996907,    G/S   
ADARSH NAGAR (WORLI VILLAGE),0,72.822004,19.016434,    G/S   
ADARSH NAGAR (WORLI VILLAGE),0,72.823068,19.015929,    G/S   
AGAR BAZAR,0,72.833942,19.018619,    G/S   
SANTACRUZ POLICE STATION,0,72.835498,19.084344,    M/E   
SANTACRUZ POLICE STATION,0,72.834586,19.083277,    M/E   
SANTACRUZ POLICE STATION,0,72.834473,19.082943,    M/E   
SANTACRUZ STATION (W) ROAD,0,72.837829,19.080289,    M/E   
SHASTRI NAGAR (JUHU),0,72.834517,19.087243,    M/E   
SHOPPERS STOP (ANDHERI-W),0,72.843268,19.115381,    K/W   
SHOPPERS STOP (ANDHERI-W),0,72.842518,19.114568,    K/W   
STATE BANK (VILE PARLE-W),0,72.829852,19.110602,    K/W   
SUKHMANI SOCIETY,0,72.829859,19.113231,    K/W   
VAIKUNTH DHAM,0,72.823176,19.115367,    K/W   
VAIKUNTH DHAM,0,72.823234,19.115262,    K/W   
VILE PARLE (W),0,72.83939,19.102216,    M/E   
YASHODHAM,0,72.832901,19.088073,    M/E   
MITHIBAI COLLEGE,0,72.836937,19.103597,    K/W   
DR.COOPER HOSPITAL,0,72.837086,19.108945,    K/W   
BHARAT NAGAR (VESAVE),0,72.822579,19.125413,    K/W   
JUHU SHOPPING CENTRE (JVPD),0,72.835122,19.116062,    K/W   
"D.N.NAGAR, BARFIWALA VIDYALAYA",0,72.830497,19.123928,    K/W   
INDIAN OIL NAGAR (ANDHERI-W),0,72.831046,19.127307,    K/W   
ESIC NAGAR,0,72.829904,19.121979,    K/W   
AZAD NAGAR (KALINA),0,72.866688,19.078653,    L   
AMAR BRASS & STEEL COMPANY,0,72.865627,19.071976,    L   
"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",0,72.875604,19.071466,    L   
"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",0,72.875367,19.070011,    L   
BAIL BAZAR,0,72.881013,19.086438,    L   
BUDDHA NAGAR (KURLA-W),0,72.880326,19.073456,    L   
CHIRAG NAGAR,0,72.898117,19.08658,    N   
DATTA MANDIR (VAKOLA),0,72.8532333,19.083,    M/E   
DR.AMBEDKAR BHAVAN (VIDYA NAGARI),0,72.854653,19.072169,    M/E   
GAONDEVI JUNCTION (VAKOLA),0,72.8535667,19.0824,    M/E   
GOL BUILDING (KURLA-W),0,72.874998,19.067446,    L   
"INDIRA NAGAR (KAMANI), KHALAI VILLAGE",0,72.894366,19.081971,    N   
JARIMARI (SAKINAKA),0,72.883413,19.094687,    N   
KALINA,0,72.862897,19.077775,    L   
KALPANA CINEMA,0,72.878528,19.077285,    L   
KAMANI,0,72.885489,19.084669,    L   
KAMANI,0,72.886478,19.085103,    L   
KAMANI,0,72.887019,19.085085,    L   
KAMANI,0,72.887238,19.085067,    L   
PHOENIX MILL,0,72.825583,18.995107,    G/S   
"PODDAR HOSPITAL (WORLI), SIDDHARTH NAGAR",0,72.815671,19.002706,    G/S   
"PODDAR HOSPITAL (WORLI), SIDDHARTH NAGAR",0,72.815435,19.001296,    G/S   
POLICE CAMP (WORLI),0,72.814431,19.008053,    G/S   
PRABHADEVI,0,72.829396,19.013656,    G/S   
PRABHADEVI,0,72.828513,19.013285,    G/S   
PRABHADEVI,0,72.82834,19.015959,    G/S   
PRABODHANKAR THACKERAY CHOWK (DADAR-W),0,72.836562,19.020049,    G/S   
RANADE ROAD (DADAR-W),0,72.837559,19.021603,    G/S   
"DR.RAVINDRA KULKARNI CHOWK, SASMIRA (WORLI)",0,72.820356,19.010127,    G/S   
"MAHALAXMI RACE COURSE, ZENITH HOUSE",0,72.820297,18.979708,    E   
