name,styleUrl,longitude,latitude,ward
NALANDA (CUMBALLA HILL),0,72.807982,18.967114,NW-4
"NANA CHOWK, SHASTRI HALL",0,72.813283,18.963613,NW-4
NAVJEEVAN SOCIETY (TARDEO),0,72.819511,18.965316,NW-4
"A.H.ANSARI CHOWK, NEW NAGPADA",0,72.832585,18.966582,NW-13
"NOVELTY CINEMA, DR.BHADKAMKAR ROAD",0,72.81883,18.961847,NW-4
"SANTACRUZ STATION (W) ROAD, KASHIBAI HOSPITAL",0,72.838034,19.08505,NW-1
"PARASMANI, MADHUKUNJ SOCIETY",0,72.829949,19.107982,NW-14
MANO-BINA APARTMENTS,0,72.840967,19.116157,NW-14
NANAVATI HOSPITAL,0,72.839519,19.095052,NW-1
PARSI COLONY (JUHU),0,72.827551,19.09976,NW-1
VILE PARLE (W),0,72.838849,19.101719,NW-27
ROYAL HOTEL(JUHU),0,72.828175,19.092135,NW-1
SANTACRUZ DEPOT,0,72.83859,19.091853,NW-1
KAPADIA NAGAR,0,72.872704,19.075178,NW-32
KUNCHI KURVE NAGAR,0,72.869938,19.077245,NW-32
KURLA STATION (W),0,72.878998,19.067222,NW-32
KURLA DEPOT,0,72.878823,19.075379,NW-32
"RAJMATA AHILYABAI HOLKAR UDYAN, KURLA LION S PARK",0,72.872702,19.060804,NW-32
LAXMANRAO YADAV MARKET (KURLA MARKET),0,72.879377,19.070375,NW-32
"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE",0,72.874088,19.063976,NW-32
MAHATMA PHULE BHAVAN (VIDYA NAGARI),0,72.856954,19.069198,NW-32
MILAN SUBWAY,0,72.844112,19.090547,NW-1
MILITARY OUTPOST (KALINA),0,72.859056,19.080573,NW-32
MOHAMMAD ESTATE,0,72.871204,19.073632,NW-32
"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)",0,72.889946,19.08468,NW-28
NAVAPADA (VIDYAVIHAR-W),0,72.889938,19.082394,NW-28
NEW AGRIPADA (SANTACRUZ-E),0,72.844,19.087367,NW-1
NEW AIR INDIA QUARTERS,0,72.872274,19.080733,NW-32
OLD AGRA ROAD (KURLA-W),0,72.879724,19.079029,NW-32
PHATAK TECHNICAL SCHOOL,0,72.8502167,19.0809,NW-1
RAHAT APARTMENT,0,72.87965,19.075298,NW-32
VAKOLA POLICE STATION,0,72.846029,19.080556,NW-1
VIDYA VIHAR S.T.WORKSHOP,0,72.890812,19.080931,NW-28
SAFED POOL (SAKI NAKA),0,72.883622,19.096593,NW-20
SANTACRUZ STATION (E),0,72.842446,19.081069,NW-1
SHEETAL CINEMA (KURLA-W),0,72.882146,19.082454,NW-32
ST.MARY SCHOOL (KALINA),0,72.868531,19.078274,NW-32
SUNDAR BAUG (KAMANI),0,72.887246,19.08682,NW-28
VAKOLA PIPE LINE,0,72.853953,19.081221,NW-32
VAKOLA POLICE STATION (HANUMAN MANDIR),0,72.847227,19.079012,NW-1
VIDYA NAGARI (KALINA),0,72.860971,19.073356,NW-32
VIDYA NAGARI (KALINA) NEHRU LIBRARY,0,72.85872,19.071114,NW-32
VIDYA VIHAR BUS STATION (W),0,72.89659,19.079958,NW-28
ACHARYA VINOBA BHAVE NAGAR (KURLA-W),0,72.881513,19.073718,NW-32
"NEHRU NAGAR  (KURLA-E), TILAK NAGAR JUNCTION",0,72.888138,19.068337,NW-12
ACHARYA ATRE CHOWK (WORLI NAKA),0,72.816531,18.996907,NW-33
ADARSH NAGAR (WORLI VILLAGE),0,72.822004,19.016434,NW-33
AGAR BAZAR,0,72.833942,19.018619,NW-8
SANTACRUZ POLICE STATION,0,72.835498,19.084344,NW-1
SANTACRUZ STATION (W) ROAD,0,72.837829,19.080289,NW-1
